lead_id,advisor_id,assignment_date,priority_at_assignment,position
LD-00390,AS-009,2026-09-17 19:35:35.817455,HIGH,1
LD-00051,AS-021,2026-09-17 19:35:35.817455,MEDIUM,1
LD-00820,AS-033,2026-09-17 19:35:35.817455,MEDIUM,1
LD-00484,AS-021,2026-09-17 19:35:35.817455,MEDIUM,2
LD-01022,AS-024,2026-09-17 19:35:35.817455,MEDIUM,1
LD-01216,AS-038,2026-09-17 19:35:35.817455,MEDIUM,1
LD-00545,AS-024,2026-09-17 19:35:35.817455,MEDIUM,2
LD-01033,AS-024,2026-09-17 19:35:35.817455,MEDIUM,3
LD-01501,AS-005,2026-09-17 19:35:35.817455,MEDIUM,1
LD-00943,AS-017,2026-09-17 19:35:35.817455,LOW,1
LD-00101,AS-005,2026-09-17 19:35:35.817455,LOW,2
LD-00747,AS-015,2026-09-17 19:35:35.817455,LOW,1
LD-00476,AS-015,2026-09-17 19:35:35.817455,LOW,2
LD-00542,AS-009,2026-09-17 19:35:35.817455,LOW,2
LD-00295,AS-029,2026-09-17 19:35:35.817455,LOW,1
LD-01118,AS-024,2026-09-17 19:35:35.817455,LOW,4
LD-00383,AS-001,2026-09-17 19:35:35.817455,LOW,1
LD-00985,AS-013,2026-09-17 19:35:35.817455,LOW,1
LD-00961,AS-038,2026-09-17 19:35:35.817455,LOW,2
LD-01323,AS-029,2026-09-17 19:35:35.817455,LOW,2
LD-00635,AS-009,2026-09-17 19:35:35.817455,LOW,3
LD-00909,AS-009,2026-09-17 19:35:35.817455,LOW,4
LD-00962,AS-001,2026-09-17 19:35:35.817455,LOW,2
LD-00427,AS-017,2026-09-17 19:35:35.817455,LOW,2
LD-00063,AS-001,2026-09-17 19:35:35.817455,LOW,3
LD-00588,AS-009,2026-09-17 19:35:35.817455,LOW,5
LD-01347,AS-029,2026-09-17 19:35:35.817455,LOW,3
LD-00870,AS-039,2026-09-17 19:35:35.817455,LOW,1
LD-00226,AS-009,2026-09-17 19:35:35.817455,LOW,6
LD-01019,AS-021,2026-09-17 19:35:35.817455,LOW,3
LD-00089,AS-005,2026-09-17 19:35:35.817455,LOW,3
LD-00570,AS-013,2026-09-17 19:35:35.817455,LOW,2
LD-00842,AS-029,2026-09-17 19:35:35.817455,LOW,4
LD-00379,AS-021,2026-09-17 19:35:35.817455,LOW,4
LD-01007,AS-038,2026-09-17 19:35:35.817455,LOW,3
LD-01345,AS-039,2026-09-17 19:35:35.817455,LOW,2
LD-00761,AS-039,2026-09-17 19:35:35.817455,LOW,3
LD-00734,AS-019,2026-09-17 19:35:35.817455,LOW,1
LD-00596,AS-019,2026-09-17 19:35:35.817455,LOW,2
LD-01393,AS-019,2026-09-17 19:35:35.817455,LOW,3
LD-00353,AS-009,2026-09-17 19:35:35.817455,LOW,7
LD-00219,AS-039,2026-09-17 19:35:35.817455,LOW,4
LD-00963,AS-039,2026-09-17 19:35:35.817455,LOW,5
LD-00078,AS-005,2026-09-17 19:35:35.817455,LOW,4
LD-00173,AS-024,2026-09-17 19:35:35.817455,LOW,5
LD-01321,AS-039,2026-09-17 19:35:35.817455,LOW,6
LD-01325,AS-005,2026-09-17 19:35:35.817455,LOW,5
LD-01092,AS-019,2026-09-17 19:35:35.817455,LOW,4
LD-00609,AS-029,2026-09-17 19:35:35.817455,LOW,5
LD-00495,AS-029,2026-09-17 19:35:35.817455,LOW,6
LD-00175,AS-021,2026-09-17 19:35:35.817455,LOW,5
LD-01428,AS-039,2026-09-17 19:35:35.817455,LOW,7
LD-00843,AS-029,2026-09-17 19:35:35.817455,LOW,7
LD-01416,AS-013,2026-09-17 19:35:35.817455,LOW,3
LD-00899,AS-039,2026-09-17 19:35:35.817455,LOW,8
LD-00314,AS-009,2026-09-17 19:35:35.817455,LOW,8
LD-00133,AS-027,2026-09-17 19:35:35.817455,LOW,1
LD-00130,AS-039,2026-09-17 19:35:35.817455,LOW,9
LD-00243,AS-029,2026-09-17 19:35:35.817455,LOW,8
LD-00447,AS-021,2026-09-17 19:35:35.817455,LOW,6
LD-00766,AS-038,2026-09-17 19:35:35.817455,LOW,4
