lead_id,initial_payment,payment_method,intent,main_objection,requested_appointment,requested_quote,provider,model_name,prompt_version,confidence
LD-00002,22900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00009,,credito,,soat,False,False,mock,,1.0,0.75
LD-00010,24900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00013,13990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00018,7290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00020,,credito,,soat,False,False,mock,,1.0,0.75
LD-00022,7490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00024,7290000.0,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00025,6290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00026,5590000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00027,6590000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00030,7490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00032,24900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00034,,credito,,soat,False,False,mock,,1.0,0.75
LD-00035,7290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00037,11490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00040,11990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00044,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00045,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00046,11990000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00049,,credito,,soat,False,False,mock,,1.0,0.75
LD-00052,,credito,,soat,False,False,mock,,1.0,0.75
LD-00053,4990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00055,,credito,,soat,False,False,mock,,1.0,0.75
LD-00058,11490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00059,6990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00063,15490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00068,5590000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00071,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00072,,credito,,cuota,False,False,mock,,1.0,0.75
LD-00075,7490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00079,,credito,,soat,True,False,mock,,1.0,0.75
LD-00081,,credito,,soat,False,False,mock,,1.0,0.75
LD-00082,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00083,14990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00084,,credito,,soat,False,False,mock,,1.0,0.75
LD-00087,22900000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00089,7190000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00091,7490000.0,credito,,soat,True,False,mock,,1.0,0.75
LD-00092,9890000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00093,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00095,22900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00096,,credito,,soat,False,False,mock,,1.0,0.75
LD-00097,,credito,,soat,False,False,mock,,1.0,0.75
